,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,83.0,74.0,60.0,60.0,66.0,66.0,63.0,58.0,81.0,91.0,58.0,53.0,184.0,375.0,276.0,571.0,450.0,139.0,314.0,204.0,295.0,336.0,386.0,988.0,550.0,503.0,403.0,490.0,539.0,1000.0,390.0,1000.0,239.0,425.0,1000.0,421.0,419.0,658.0,341.0,1000.0,478.0,251.0,1000.0,381.0,1000.0,460.0,525.0,397.0,1000.0,442.0,1000.0,1000.0,346.0,509.0,993.0,583.0,733.0,754.0,1000.0,492.0,299.0,487.0,279.0,1000.0,250.0,351.0,1000.0,513.0,286.0,190.0,1000.0,286.0,519.0,306.0,426.0,1000.0,595.0,634.0,576.0,1000.0,1000.0,255.0,1000.0,508.0,280.0,976.0,321.0,377.0,293.0,415.0,1000.0,378.0,369.0,578.0,702.0,323.0,298.0,1000.0,996.0,234.0
1,70.0,85.0,76.0,69.0,74.0,72.0,74.0,59.0,76.0,61.0,209.0,64.0,99.0,88.0,96.0,259.0,94.0,115.0,210.0,110.0,356.0,116.0,184.0,132.0,256.0,868.0,177.0,133.0,188.0,284.0,389.0,182.0,239.0,200.0,275.0,202.0,343.0,168.0,663.0,431.0,950.0,510.0,720.0,256.0,494.0,647.0,1000.0,351.0,357.0,672.0,527.0,587.0,226.0,480.0,494.0,653.0,401.0,478.0,698.0,512.0,366.0,607.0,348.0,816.0,774.0,531.0,1000.0,700.0,959.0,446.0,337.0,985.0,1000.0,808.0,749.0,730.0,480.0,727.0,558.0,315.0,1000.0,1000.0,1000.0,1000.0,1000.0,373.0,430.0,655.0,381.0,1000.0,291.0,898.0,562.0,1000.0,482.0,716.0,518.0,290.0,1000.0,287.0
2,84.0,87.0,88.0,68.0,64.0,71.0,117.0,170.0,155.0,82.0,769.0,191.0,69.0,109.0,189.0,280.0,1000.0,185.0,235.0,308.0,421.0,298.0,230.0,371.0,351.0,420.0,218.0,356.0,406.0,326.0,241.0,595.0,321.0,416.0,655.0,290.0,160.0,537.0,408.0,480.0,378.0,445.0,422.0,912.0,753.0,865.0,313.0,616.0,406.0,562.0,601.0,552.0,305.0,727.0,1000.0,488.0,480.0,700.0,1000.0,1000.0,1000.0,623.0,1000.0,501.0,537.0,880.0,571.0,531.0,437.0,1000.0,486.0,1000.0,544.0,375.0,1000.0,1000.0,783.0,455.0,532.0,429.0,667.0,349.0,453.0,279.0,579.0,522.0,289.0,452.0,423.0,234.0,1000.0,569.0,659.0,490.0,412.0,455.0,1000.0,1000.0,560.0,355.0
3,70.0,70.0,63.0,100.0,66.0,91.0,93.0,101.0,67.0,124.0,65.0,108.0,152.0,108.0,210.0,171.0,121.0,162.0,308.0,1000.0,573.0,341.0,455.0,356.0,313.0,333.0,260.0,577.0,464.0,347.0,312.0,552.0,247.0,186.0,396.0,325.0,425.0,305.0,598.0,318.0,471.0,319.0,427.0,317.0,379.0,352.0,368.0,340.0,256.0,1000.0,253.0,360.0,225.0,228.0,293.0,577.0,241.0,379.0,367.0,385.0,1000.0,311.0,438.0,364.0,323.0,306.0,329.0,587.0,270.0,1000.0,360.0,404.0,1000.0,505.0,324.0,584.0,372.0,654.0,1000.0,392.0,1000.0,1000.0,367.0,633.0,411.0,1000.0,325.0,528.0,298.0,407.0,533.0,1000.0,1000.0,1000.0,1000.0,1000.0,293.0,361.0,396.0,280.0
4,76.0,53.0,68.0,69.0,70.0,85.0,91.0,126.0,92.0,106.0,59.0,95.0,1000.0,359.0,189.0,613.0,471.0,190.0,251.0,508.0,441.0,313.0,1000.0,1000.0,219.0,510.0,1000.0,440.0,401.0,1000.0,392.0,250.0,1000.0,257.0,244.0,463.0,313.0,473.0,457.0,415.0,285.0,564.0,404.0,509.0,414.0,330.0,635.0,892.0,316.0,550.0,353.0,311.0,478.0,383.0,239.0,469.0,324.0,1000.0,1000.0,351.0,692.0,528.0,558.0,394.0,345.0,494.0,349.0,488.0,429.0,491.0,396.0,291.0,386.0,483.0,298.0,612.0,1000.0,530.0,388.0,252.0,486.0,1000.0,817.0,789.0,210.0,1000.0,1000.0,314.0,966.0,325.0,419.0,1000.0,301.0,487.0,1000.0,288.0,276.0,284.0,411.0,228.0
5,85.0,51.0,94.0,74.0,69.0,115.0,78.0,119.0,146.0,97.0,139.0,111.0,106.0,139.0,117.0,131.0,99.0,127.0,182.0,287.0,85.0,141.0,110.0,154.0,239.0,163.0,1000.0,111.0,114.0,506.0,361.0,247.0,167.0,129.0,115.0,225.0,183.0,248.0,218.0,412.0,348.0,458.0,340.0,323.0,932.0,220.0,246.0,301.0,306.0,227.0,201.0,603.0,239.0,225.0,210.0,189.0,332.0,694.0,189.0,414.0,198.0,318.0,307.0,692.0,340.0,233.0,230.0,465.0,402.0,398.0,1000.0,383.0,506.0,364.0,404.0,558.0,1000.0,499.0,671.0,853.0,1000.0,605.0,1000.0,252.0,276.0,320.0,274.0,339.0,1000.0,361.0,454.0,419.0,1000.0,1000.0,326.0,466.0,649.0,1000.0,514.0,201.0
6,59.0,91.0,53.0,59.0,66.0,74.0,55.0,84.0,93.0,60.0,60.0,79.0,81.0,79.0,64.0,55.0,62.0,54.0,76.0,62.0,71.0,54.0,51.0,58.0,93.0,90.0,60.0,53.0,104.0,162.0,111.0,129.0,124.0,121.0,139.0,148.0,134.0,97.0,153.0,268.0,174.0,286.0,127.0,117.0,293.0,114.0,131.0,310.0,288.0,395.0,243.0,171.0,291.0,1000.0,391.0,1000.0,626.0,237.0,313.0,553.0,357.0,210.0,349.0,428.0,595.0,463.0,833.0,298.0,435.0,355.0,247.0,333.0,539.0,307.0,190.0,286.0,379.0,765.0,313.0,1000.0,269.0,72.0,245.0,313.0,745.0,655.0,423.0,332.0,307.0,323.0,235.0,1000.0,242.0,273.0,340.0,346.0,263.0,1000.0,971.0,702.0
7,69.0,76.0,87.0,71.0,81.0,62.0,82.0,58.0,60.0,53.0,74.0,130.0,70.0,90.0,52.0,58.0,80.0,199.0,847.0,218.0,206.0,263.0,1000.0,371.0,514.0,400.0,490.0,1000.0,701.0,501.0,1000.0,402.0,1000.0,1000.0,437.0,469.0,517.0,385.0,671.0,979.0,521.0,605.0,1000.0,623.0,1000.0,681.0,422.0,859.0,394.0,406.0,633.0,487.0,678.0,347.0,563.0,555.0,492.0,554.0,615.0,805.0,533.0,710.0,190.0,531.0,410.0,1000.0,1000.0,1000.0,370.0,1000.0,418.0,747.0,1000.0,702.0,610.0,695.0,500.0,773.0,762.0,449.0,355.0,347.0,233.0,1000.0,494.0,394.0,486.0,500.0,332.0,1000.0,524.0,537.0,284.0,658.0,334.0,404.0,580.0,696.0,472.0,1000.0
8,72.0,85.0,73.0,84.0,105.0,89.0,103.0,157.0,163.0,185.0,143.0,61.0,215.0,1000.0,292.0,515.0,166.0,259.0,390.0,144.0,271.0,253.0,265.0,246.0,397.0,639.0,1000.0,280.0,287.0,478.0,324.0,352.0,346.0,299.0,422.0,330.0,242.0,436.0,756.0,490.0,415.0,395.0,326.0,288.0,423.0,358.0,592.0,604.0,523.0,339.0,820.0,485.0,234.0,507.0,565.0,514.0,370.0,408.0,417.0,448.0,612.0,572.0,590.0,361.0,306.0,307.0,417.0,209.0,325.0,546.0,408.0,1000.0,291.0,230.0,395.0,413.0,243.0,299.0,315.0,728.0,516.0,574.0,628.0,586.0,1000.0,1000.0,549.0,351.0,614.0,1000.0,469.0,329.0,1000.0,355.0,1000.0,249.0,322.0,348.0,417.0,548.0
9,70.0,68.0,59.0,102.0,61.0,96.0,86.0,55.0,84.0,130.0,92.0,123.0,90.0,84.0,136.0,103.0,90.0,111.0,360.0,331.0,1000.0,1000.0,313.0,184.0,272.0,172.0,288.0,279.0,741.0,262.0,294.0,341.0,391.0,284.0,667.0,414.0,321.0,962.0,372.0,546.0,396.0,117.0,570.0,446.0,310.0,707.0,651.0,295.0,323.0,462.0,611.0,698.0,564.0,321.0,242.0,369.0,295.0,276.0,292.0,196.0,373.0,356.0,550.0,403.0,335.0,512.0,365.0,639.0,292.0,432.0,401.0,302.0,529.0,779.0,366.0,317.0,524.0,348.0,333.0,556.0,390.0,326.0,547.0,427.0,350.0,891.0,492.0,303.0,622.0,685.0,795.0,229.0,893.0,795.0,1000.0,1000.0,677.0,241.0,1000.0,1000.0
